X,Y,Z,body,wl,wr
36,21,15,1,0,0
36,21,16,1,0,0
36,21,17,1,0,0
36,22,15,1,0,0
36,22,16,1,0,0
36,22,17,1,0,0
36,22,18,1,0,0
36,23,15,1,0,0
36,23,16,1,0,0
36,23,17,1,0,0
36,23,18,1,0,0
36,23,19,1,0,0
37,21,15,1,0,0
37,21,16,1,0,0
37,21,17,1,0,0
37,21,18,1,0,0
37,22,14,1,0,0
37,22,15,1,0,0
37,22,16,1,0,0
37,22,17,1,0,0
37,22,18,1,0,0
37,22,19,1,0,0
37,23,12,1,0,0
37,23,13,1,0,0
37,23,14,1,0,0
37,23,15,1,0,0
37,23,16,1,0,0
37,23,17,1,0,0
37,23,18,1,0,0
37,23,19,1,0,0
37,23,20,1,0,0
37,24,12,1,0,0
37,24,13,1,0,0
37,24,14,1,0,0
37,24,15,1,0,0
37,24,16,1,0,0
37,24,17,1,0,0
37,24,18,1,0,0
37,24,19,1,0,0
37,24,20,1,0,0
37,24,21,1,0,0
37,25,13,1,0,0
37,25,14,1,0,0
37,25,15,1,0,0
37,25,16,1,0,0
37,25,17,1,0,0
37,25,18,1,0,0
37,25,19,1,0,0
37,25,20,1,0,0
37,25,21,1,0,0
37,26,13,1,0,0
37,26,14,1,0,0
37,26,15,1,0,0
37,26,16,1,0,0
37,26,17,1,0,0
37,26,18,1,0,0
37,26,19,1,0,0
37,26,20,1,0,0
37,26,21,1,0,0
37,26,22,1,0,0
37,27,13,1,0,0
37,27,14,1,0,0
37,27,15,1,0,0
37,27,16,1,0,0
37,27,17,1,0,0
37,27,18,1,0,0
37,27,19,1,0,0
37,27,20,1,0,0
37,27,21,1,0,0
37,27,22,1,0,0
37,28,13,1,0,0
37,28,14,1,0,0
37,28,15,1,0,0
37,28,16,1,0,0
37,28,17,1,0,0
37,28,18,1,0,0
37,28,19,1,0,0
37,28,20,1,0,0
37,28,21,1,0,0
37,28,22,1,0,0
37,28,23,1,0,0
37,29,13,1,0,0
37,29,14,1,0,0
37,29,15,1,0,0
37,29,16,1,0,0
38,21,15,1,0,0
38,21,16,1,0,0
38,21,17,1,0,0
38,21,18,1,0,0
38,22,12,1,0,0
38,22,13,1,0,0
38,22,14,1,0,0
38,22,15,1,0,0
38,22,16,1,0,0
38,22,17,1,0,0
38,22,18,1,0,0
38,22,19,1,0,0
38,23,10,1,0,0
38,23,11,1,0,0
38,23,12,1,0,0
38,23,13,1,0,0
38,23,14,1,0,0
38,23,15,1,0,0
38,23,16,1,0,0
